"filename", "language", "Batch", "C++", "Markdown", "Ini", "C", "comment", "blank", "total"
"c:\programs\LandlordPlus\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 4, 8
"c:\programs\LandlordPlus\bin\config.ini", "Ini", 0, 0, 0, 5, 0, 1, 2, 8
"c:\programs\LandlordPlus\build.bat", "Batch", 13, 0, 0, 0, 0, 0, 3, 16
"c:\programs\LandlordPlus\doall.bat", "Batch", 5, 0, 0, 0, 0, 0, 0, 5
"c:\programs\LandlordPlus\include\base.h", "C++", 0, 32, 0, 0, 0, 0, 3, 35
"c:\programs\LandlordPlus\include\button.h", "C++", 0, 22, 0, 0, 0, 0, 6, 28
"c:\programs\LandlordPlus\include\draw_funcs.h", "C++", 0, 6, 0, 0, 0, 0, 4, 10
"c:\programs\LandlordPlus\include\entity.h", "C++", 0, 24, 0, 0, 0, 0, 5, 29
"c:\programs\LandlordPlus\include\fov.h", "C++", 0, 60, 0, 0, 0, 155, 31, 246
"c:\programs\LandlordPlus\include\game.h", "C++", 0, 29, 0, 0, 0, 0, 9, 38
"c:\programs\LandlordPlus\include\game_states\mainmenu_state.h", "C++", 0, 21, 0, 0, 0, 0, 6, 27
"c:\programs\LandlordPlus\include\game_states\play_state.h", "C++", 0, 22, 0, 0, 0, 0, 6, 28
"c:\programs\LandlordPlus\include\gamestate.h", "C++", 0, 12, 0, 0, 0, 0, 4, 16
"c:\programs\LandlordPlus\include\map.h", "C++", 0, 44, 0, 0, 0, 0, 9, 53
"c:\programs\LandlordPlus\include\map_generators\perlin_generator.h", "C++", 0, 49, 0, 0, 0, 0, 2, 51
"c:\programs\LandlordPlus\include\settings.h", "C++", 0, 10, 0, 0, 0, 2, 5, 17
"c:\programs\LandlordPlus\include\world.h", "C++", 0, 30, 0, 0, 0, 4, 8, 42
"c:\programs\LandlordPlus\run.bat", "Batch", 6, 0, 0, 0, 0, 0, 1, 7
"c:\programs\LandlordPlus\src\button.cpp", "C++", 0, 34, 0, 0, 0, 0, 5, 39
"c:\programs\LandlordPlus\src\draw_funcs.cpp", "C++", 0, 28, 0, 0, 0, 0, 3, 31
"c:\programs\LandlordPlus\src\entity.cpp", "C++", 0, 73, 0, 0, 0, 8, 3, 84
"c:\programs\LandlordPlus\src\fov.c", "C", 0, 0, 0, 0, 299, 90, 38, 427
"c:\programs\LandlordPlus\src\game.cpp", "C++", 0, 119, 0, 0, 0, 11, 17, 147
"c:\programs\LandlordPlus\src\game_states\mainmenu_state.cpp", "C++", 0, 75, 0, 0, 0, 1, 9, 85
"c:\programs\LandlordPlus\src\game_states\play_state.cpp", "C++", 0, 129, 0, 0, 0, 5, 10, 144
"c:\programs\LandlordPlus\src\main.cpp", "C++", 0, 15, 0, 0, 0, 0, 6, 21
"c:\programs\LandlordPlus\src\map.cpp", "C++", 0, 51, 0, 0, 0, 0, 7, 58
"c:\programs\LandlordPlus\src\map_generators\perlin_generator.cpp", "C++", 0, 23, 0, 0, 0, 0, 5, 28
"c:\programs\LandlordPlus\src\settings.cpp", "C++", 0, 38, 0, 0, 0, 0, 7, 45
"c:\programs\LandlordPlus\src\world.cpp", "C++", 0, 40, 0, 0, 0, 0, 5, 45
"Total", "-", 24, 986, 4, 5, 299, 277, 223, 1818